School Name,School Type,Early Career Pay,Mid-Career Pay,% STEM Degrees
Harvey Mudd College,"Engineering, Liberal Arts School, Private School",88800,158200,0.85
Massachusetts Institute of Technology,"Engineering, Private School, Research University",86300,155200,0.69
Samuel Merritt University,Private School,91200,154100,0.00
United States Naval Academy,"Engineering, Liberal Arts School, Sober School, For Sports Fans, State School",80100,152800,0.58
California Institute of Technology,"Engineering, Private School, Research University",84100,151600,0.97
Stanford University,"Engineering, Private School, Research University, For Sports Fans",79000,145200,0.51
Albany College of Pharmacy and Health Sciences,Private School,81000,144800,0.02
United States Military Academy,"Liberal Arts School, Sober School, For Sports Fans, State School",80200,144000,0.39
Webb Institute,"Engineering, Private School",80800,141800,1.00
United States Merchant Marine Academy,"Engineering, State School",80600,140700,0.56
SUNY Maritime College,State School,74900,140700,0.32
Stevens Institute of Technology,"Engineering, Private School, Research University",75100,139900,0.79
Colorado School of Mines,"Engineering, Research University, State School",75600,139600,0.93
United States Air Force Academy,"Liberal Arts School, Sober School, For Sports Fans, State School",76300,138100,0.43
Carnegie Mellon University,"Engineering, Private School, Research University",75900,136100,0.66
Rose-Hulman Institute of Technology,"Engineering, Private School",75000,135800,0.96
Charles R Drew University of Medicine and Science,Private School,78300,135700,0.03
Worcester Polytechnic Institute,"Engineering, Private School, Research University",73600,135500,0.86
Santa Clara University,"Private School, Religious, For Sports Fans",69900,134700,0.29
Lehigh University,"Engineering, Party School, Private School, Research University, For Sports Fans",69500,134100,0.52
Rensselaer Polytechnic Institute,"Engineering, Private School, Research University",71300,134100,0.78
Babson College,"Business, Private School",72000,133800,0.00
Georgia Institute of Technology-Main Campus,"Engineering, Research University, For Sports Fans, State School",72700,133400,0.80
Duke University,"Private School, Religious, Research University, For Sports Fans",71100,132100,0.26
University of California-Berkeley,"Research University, For Sports Fans, State School",70700,131800,0.36
Colgate University,"Liberal Arts School, Party School, Private School, For Sports Fans",68400,130600,0.26
University of Notre Dame,"Private School, Religious, Research University, For Sports Fans",67000,130500,0.28
Clarkson University,"Engineering, Private School, Research University",66400,130100,0.58
California State University Maritime Academy,State School,70500,129600,0.15
Rice University,"Private School, Research University, For Sports Fans",71000,129500,0.45
Williams College,"Liberal Arts School, Private School",67500,127500,0.32
Cooper Union for the Advancement of Science and Art,"Engineering, Private School, Sober School",68500,126200,0.56
Manhattan College,"Private School, Religious, For Sports Fans",64000,125700,0.40
Claremont McKenna College,"Liberal Arts School, Private School",68500,125400,0.16
Kettering University,"Engineering, Private School",69900,125000,0.74
University of California-San Diego,"Engineering, Research University, State School",63400,123700,0.58
Washington and Lee University,"Liberal Arts School, Private School",65900,123200,0.18
Swarthmore College,"Liberal Arts School, Private School",67500,123200,0.45
Bucknell University,"Liberal Arts School, Party School, Private School, For Sports Fans",66700,122900,0.40
Missouri University of Science and Technology,"Engineering, Research University, State School",67300,122600,0.80
Lafayette College,"Liberal Arts School, Private School, Religious, For Sports Fans",66500,122500,0.47
Georgetown University,"Private School, Religious, Research University, For Sports Fans",66400,122200,0.14
MCPHS University,Private School,65900,121800,0.02
Maine Maritime Academy,State School,67000,121800,0.48
New Jersey Institute of Technology,"Engineering, Research University, For Sports Fans, State School",64600,121300,0.75
Virginia Military Institute,"Liberal Arts School, For Sports Fans, State School",65900,120600,0.47
University of Southern California,"Private School, Research University, For Sports Fans",64500,120600,0.23
New Mexico Institute of Mining and Technology,"Engineering, State School",64700,120400,0.91
Villanova University,"Private School, Religious, Research University, For Sports Fans",65100,119500,0.23
California Polytechnic State University-San Luis Obispo,"For Sports Fans, State School",65600,119500,0.38
Vanderbilt University,"Private School, Research University, For Sports Fans",65400,119100,0.23
South Dakota School of Mines and Technology,"Engineering, State School",66500,118500,0.92
Illinois Institute of Technology,"Engineering, Private School, Research University",64600,118500,0.64
Capitol Technology University,"Engineering, Private School",67400,118400,0.88
United States Coast Guard Academy,"Engineering, Sober School, State School",67300,118100,0.69
